ID,Treatment,Cal_cum,LV_TAG,lipidosis_area_pct,Fat_mass,subq_wt,epi_wat,mesenteric_wt,plasma_TAG,liver_wt,TG_feces,fecal_tot_output,wt
35,HFD+LXN,1913.065,621.27,4.87,18.777,1.82,2.65,1.06,49.248,1.69,39.78,0.9,47.7
36,HFD+LXN,1559.135,501.54,0.302,12.884,1.03,2.82,0.53,58.984,1.18,35.295,0.81,39.4
37,HFD+HXN,1552.169,368.55,8.501,17.602,1.57,2.75,1.27,42.617,1.83,37.44,0.78,47.3
38,HFD+HXN,1666.236,458.25,3.718,15.768,1.27,3.05,1.22,52.624,1.21,28.08,0.74,46
39,HFD+HXN,1639.96,603.33,16.618,21.098,2.52,2.61,1.53,53.92,2.35,24.765,0.85,50.5
40,HFD+HXN,1583.209,572.13,15.636,18.208,1.89,3.51,1.21,60.672,1.71,28.86,0.81,47.3
41,HFD+HXN,1708.8,687.57,2.021,20.594,2.14,2.53,1.81,39.964,2.66,35.1,0.83,50.4
42,HFD+HXN,1664.751,780,19.615,19.71,1.56,2.06,1.69,50.363,2.91,16.185,0.84,53.4
43,HFD+HXN,1577.574,515.97,5.154,15.025,1.26,3,0.6,48.917,1.38,18.525,0.83,41.8
44,HFD+HXN,1648.258,484.38,4.116,16.203,1.9,3.31,0.55,43.521,1.36,19.11,0.79,44
45,HFD+HXN,1489.476,521.82,12.494,18.318,1.73,3.04,0.76,49.218,1.81,25.155,0.94,46.7
46,HFD+HXN,1673.868,790.92,5.366,13.942,1.26,2.98,0.52,75.653,1.28,15.015,0.88,40.8
47,HFD+HXN,1714.844,664.56,22.111,19.668,2.04,1.88,1.33,34.96,2.64,35.295,0.93,51.7
48,HFD+HXN,1478.72,589.68,5.238,18.627,1.72,3.14,1.17,53.498,1.77,70.59,0.8,48.8
49,HFD+TXN,1627.053,362.31,2.72,11.771,0.69,2.7,0.36,54.101,1.27,22.425,0.84,40.8
51,HFD+TXN,1548.584,430.95,9.694,18.357,1.72,2.93,1.28,49.188,1.57,18.915,0.67,45.9
52,HFD+TXN,1534.703,332.28,8.05,15.996,1.18,3,0.67,66.279,1.33,29.445,0.68,42.1
53,HFD+TXN,1642.675,525.72,17.234,19.307,2.54,3.2,1.57,56.874,2,22.815,0.79,50.4
54,HFD+TXN,1485.788,335.01,3.943,12.891,1.08,2.47,0.42,76.075,1.06,22.62,0.77,36.6
55,HFD+TXN,1515.086,412.62,7.777,13.314,0.84,2.83,0.56,72.91,1.25,26.13,0.83,39.6
56,HFD+TXN,1638.014,457.08,0.983,11.159,0.95,2.69,0.47,57.477,1.19,20.28,0.75,39.6
57,HFD+TXN,2122.555,618.54,18.583,18.454,0.86,2.12,1.14,45.721,1.88,26.715,1.09,51.9
58,HFD+TXN,1716.893,440.7,7.057,15.673,1.23,2.84,0.68,45.119,1.39,19.305,0.51,43.3
59,HFD+TXN,2033.944,420.42,1.079,8.871,0.52,1.56,0.24,59.045,1.07,60.645,0.76,34.7
60,HFD+TXN,1998.602,546.78,0.766,12.127,0.67,2.35,0.47,53.317,1.19,23.205,0.87,39.2
